consequence_type
synonymous_variant
intron_variant
missense_variant
3_prime_utr_variant
stop_gained
non_coding_transcript_variant
splice_region_variant
splice_donor_variant
5_prime_utr_variant
splice_acceptor_variant
nmd_transcript_variant
frameshift_variant
non_coding_transcript_exon_variant
mature_mirna_variant
start_lost
inframe_deletion
coding_sequence_variant
stop_lost
stop_retained_variant
incomplete_terminal_codon_variant
inframe_insertion
protein_altering_variant
upstream_gene_variant
downstream_gene_variant
