gene_id,Sample_Id,mRNA_expression
206,93,-1.0736
1092,93,-1.2082
3461,93,2.4039
595,93,1.0558
3335,93,-1.161
600,93,-1.1823
626,93,-0.7308
2749,93,1.4042
631,93,-1.8366
1845,93,1.5295
5930,93,4.798
4887,93,-1.1554
268,93,0.6901
256,93,-0.5949
4436,93,2.4642
642,93,-1.081
788,93,3.9676
3154,93,0.8795
105,93,-0.5936
1853,93,-0.7886
5776,93,-0.6737
89,93,1.9814
1868,93,0.897
1159,93,0.6156
2243,93,-0.7084
470,93,0.6109
3515,93,0.5596
5026,93,-1.7619
7572,93,-1.0958
1100,93,0.5218
2310,93,1.3188
515,93,1.7632
6128,93,-1.1599
2055,93,-1.3255
5812,93,0.5399
4886,93,-0.8726
472,93,-0.6857
66,93,-0.833
2187,93,4.115
1561,93,0.7774
356,93,0.6524
2637,93,-0.6633
262,93,1.2621
1735,93,-0.7225
6041,93,-2.3847
2065,93,-0.6982
660,93,1.7954
3548,93,-0.8781
4304,93,1.5805
185,93,4.7524
3062,93,-1.0714
2918,93,0.8421
3292,93,-0.9758
28,93,-0.8954
3070,93,-1.1087
1413,93,-1.0022
3330,93,1.3736
862,93,-1.1866
3211,93,2.0347
186,93,0.5101
590,93,1.1517
8475,93,-1.2009
2854,93,-1.3713
567,93,0.5329
6254,93,-4.3854
8003,93,-0.7033
6880,93,-0.6271
6782,93,-0.5306
859,93,-0.9678
3471,93,-0.7699
2959,93,1.2966
431,93,-0.9993
3508,93,1.1312
6773,93,-1.0633
2901,93,-0.822
144,93,-0.505
3187,93,-0.6821
11462,93,-1.4278
2580,93,-1.8457
12,93,-1.3105
2052,93,2.8227
3234,93,-1.2789
1693,93,1.0595
3489,93,0.9499
367,93,-0.9382
440,93,-0.5246
1689,93,-1.1311
2063,93,-1.3778
11115,93,-1.0011
179,93,1.0487
1690,93,0.6431
3977,93,-0.9324
3951,93,0.693
7913,93,0.9674
2534,93,-1.1047
2540,93,-0.5416
3986,93,-0.6736
2506,93,-1.0033
84,93,-0.6461
611,93,-1.3409
622,93,-0.6099
3645,93,0.7846
2787,93,-0.883
801,93,-1.4647
123,93,1.509
4931,93,4.0951
2299,93,-1.0045
3098,93,-0.9367
6511,93,-1.1552
5752,93,-0.7906
3156,93,2.4611
8962,93,-1.5883
4968,93,-1.4773
1228,93,-0.8616
1254,93,0.7138
4639,93,1.3884
